locusId	sysName	type	scaffoldId	strand	old_name	desc	GC	nTA	name	begin	end
15190	b1068	1	7023	+	mviM	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain (NCBI)	0.553	26	yceM	1126806	1127729
15191	b1069	1	7023	+	mviN	predicted inner membrane protein (NCBI)	0.5371	41	murJ	1127839	1129374
15192	b1070	1	7023	-	flgN	export chaperone for FlgK and FlgL (NCBI)	0.482	16	flgN	1129414	1129830
15193	b1071	1	7023	-	flgM	anti-sigma factor for FliA (sigma 28) (NCBI)	0.5272	7	flgM	1129835	1130128
15194	b1072	1	7023	-	flgA	flagellar basal body P-ring biosynthesis protein A (NCBI)	0.5227	22	flgA	1130204	1130863
15195	b1073	1	7023	+	flgB	flagellar basal-body rod protein B (NCBI)	0.5348	13	flgB	1131018	1131434
15196	b1074	1	7023	+	flgC	flagellar basal-body rod protein C (NCBI)	0.5284	14	flgC	1131438	1131842
15197	b1075	1	7023	+	flgD	flagellar basal body rod modification protein D (NCBI)	0.546	15	flgD	1131854	1132549
15198	b1076	1	7023	+	flgE	flagellar hook protein E (NCBI)	0.5153	44	flgE	1132574	1133782
15199	b1077	1	7023	+	flgF	flagellar component of cell-proximal portion of basal-body rod (NCBI)	0.5913	14	flgF	1133802	1134557
15200	b1078	1	7023	+	flgG	flagellar component of cell-distal portion of basal-body rod (NCBI)	0.5377	20	flgG	1134729	1135511
15201	b1079	1	7023	+	flgH	flagellar L-ring protein precursor H (NCBI)	0.5351	26	flgH	1135564	1136262
15202	b1080	1	7023	+	flgI	homolog of Salmonella P-ring of flagella basal body (VIMSS)	0.5419	36	flgI	1136274	1137371
15203	b1081	1	7023	+	flgJ	flagellar biosynthesis protein FlgJ (NCBI)	0.5467	25	flgJ	1137371	1138312
15204	b1082	1	7023	+	flgK	flagellar hook-associated protein K (NCBI)	0.5182	57	flgK	1138378	1140021
15205	b1083	1	7023	+	flgL	flagellar hook-associated protein L (NCBI)	0.5073	33	flgL	1140033	1140986
15206	b1084	1	7023	-	rne	fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein (NCBI)	0.5565	70	rne	1141182	1144367
15207	b1085	1	7023	+	b1085	orf, hypothetical protein (VIMSS)	0.4455	17	yceQ	1144502	1144822
15208	b1086	1	7023	+	rluC	23S rRNA pseudouridylate synthase (NCBI)	0.5146	32	rluC	1144940	1145899
15209	b1087	1	7023	-	yceF	orf, hypothetical protein (VIMSS)	0.5009	20	yceF	1146011	1146595
1936407	b4418	6	7023	+	sraB	unknown RNA (NCBI)	0.3846	10	sraB	1146589	1146757
15210	b1088	1	7023	+	yceD	hypothetical protein (NCBI)	0.4962	16	yceD	1146794	1147315
15211	b1089	1	7023	+	rpmF	50S ribosomal protein L32 (NCBI)	0.5402	4	rpmF	1147367	1147540
15212	b1090	1	7023	+	plsX	glycerolphosphate auxotrophy in plsB background (VIMSS)	0.521	33	plsX	1147621	1148691
15213	b1091	1	7023	+	fabH	3-oxoacyl-(acyl carrier protein) synthase (NCBI)	0.5472	25	fabH	1148759	1149712
15214	b1092	1	7023	+	fabD	acyl carrier protein S-malonyltransferase (NCBI)	0.5516	26	fabD	1149728	1150657
15215	b1093	1	7023	+	fabG	3-oxoacyl-[acyl-carrier-protein] reductase (NCBI)	0.5156	24	fabG	1150670	1151404
15216	b1094	1	7023	+	acpP	acyl carrier protein (NCBI)	0.481	5	acpP	1151615	1151851
15217	b1095	1	7023	+	fabF	3-oxoacyl-(acyl carrier protein) synthase (NCBI)	0.533	42	fabF	1151939	1153180
15218	b1096	1	7023	+	pabC	4-amino-4-deoxychorismate lyase (NCBI)	0.5062	28	pabC	1153300	1154109
15219	b1097	1	7023	+	yceG	predicted aminodeoxychorismate lyase (NCBI)	0.5073	43	mltG	1154112	1155134
15220	b1098	1	7023	+	tmk	thymidylate kinase (NCBI)	0.5405	22	tmk	1155124	1155765
15221	b1099	1	7023	+	holB	DNA polymerase III subunit delta' (NCBI)	0.5403	33	holB	1155762	1156766
15222	b1100	1	7023	+	ycfH	predicted metallodependent hydrolase (NCBI)	0.5088	31	ycfH	1156777	1157574
15223	b1101	1	7023	+	ptsG	fused glucose-specific PTS enzymes: IIB component/IIC component (NCBI)	0.5265	49	ptsG	1157869	1159302
15224	b1102	1	7023	-	fhuE	ferric-rhodotorulic acid outer membrane transporter (NCBI)	0.5	91	fhuE	1159362	1161551
15225	b1103	1	7023	+	ycfF	orf, hypothetical protein (VIMSS)	0.5056	12	hinT	1161885	1162244
15226	b1104	1	7023	+	ycfL	hypothetical protein (NCBI)	0.4947	12	ycfL	1162247	1162624
15227	b1105	1	7023	+	ycfM	predicted outer membrane lipoprotein (NCBI)	0.5639	21	lpoB	1162638	1163279
15228	b1106	1	7023	+	ycfN	thiamin kinase (NCBI)	0.5333	32	thiK	1163260	1164084
15229	b1107	1	7023	+	nagZ	beta-hexosaminidase (NCBI)	0.5302	29	nagZ	1164095	1165120
15230	b1108	1	7023	+	ycfP	orf, hypothetical protein (VIMSS)	0.4659	19	ycfP	1165143	1165685
15231	b1109	1	7023	+	ndh	respiratory NADH dehydrogenase 2/cupric reductase (NCBI)	0.5295	36	ndh	1166085	1167389
15232	b1110	1	7023	+	ycfJ	hypothetical protein (NCBI)	0.537	16	ycfJ	1167599	1168138
15233	b1111	1	7023	-	ycfQ	orf, hypothetical protein (VIMSS)	0.5118	17	comR	1168200	1168832
15234	b1112	1	7023	+	ycfR	hypothetical protein (NCBI)	0.4729	7	bhsA	1169073	1169330
15235	b1113	1	7023	-	ycfS	hypothetical protein (NCBI)	0.5327	33	ldtC	1169412	1170374
15236	b1114	1	7023	-	mfd	transcription-repair coupling factor (NCBI)	0.5477	78	mfd	1170518	1173964
15237	b1115	1	7023	-	ycfT	predicted inner membrane protein (NCBI)	0.4953	40	ycfT	1174092	1175165
15238	b1116	1	7023	+	lolC	outer membrane-specific lipoprotein transporter subunit (NCBI)	0.5417	39	lolC	1175427	1176626
15239	b1117	1	7023	+	ycfV	putative ATP-binding component of a transport system (VIMSS)	0.5513	16	lolD	1176619	1177320
15240	b1118	1	7023	+	lolE	outer membrane-specific lipoprotein transporter subunit (NCBI)	0.5189	45	lolE	1177320	1178564
15241	b1119	1	7023	+	nagK	N-acetyl-D-glucosamine kinase (NCBI)	0.5274	30	nagK	1178593	1179504
15242	b1120	1	7023	+	cobB	deacetylase of acs and cheY, regulates chemotaxis (NCBI)	0.5199	18	cobB	1179520	1180359
15243	b1121	1	7023	-	ycfZ	predicted inner membrane protein (NCBI)	0.4259	47	ycfZ	1180479	1181267
15244	b1122	1	7023	-	ymfA	orf, hypothetical protein (VIMSS)	0.4351	29	ymfA	1181264	1181725
15245	b1123	1	7023	-	potD	spermidine/putrescine ABC transporter periplasmic substrate-binding protein (NCBI)	0.5081	35	potD	1181783	1182829
15246	b1124	1	7023	-	potC	spermidine/putrescine ABC transporter membrane protein (NCBI)	0.5019	28	potC	1182826	1183620
15247	b1125	1	7023	-	potB	spermidine/putrescine ABC transporter membrane protein (NCBI)	0.5085	31	potB	1183617	1184444
15248	b1126	1	7023	-	potA	putrescine/spermidine ABC transporter ATPase protein (NCBI)	0.5084	26	potA	1184458	1185594
15249	b1127	1	7023	+	pepT	peptidase T (NCBI)	0.4988	44	pepT	1185844	1187070
15250	b1128	1	7023	-	ycfD	orf, hypothetical protein (VIMSS)	0.5401	29	roxA	1187119	1188240
15251	b1129	1	7023	-	phoQ	sensory histidine kinase in two-compoent regulatory system with PhoP (NCBI)	0.5133	48	phoQ	1188316	1189776
15252	b1130	1	7023	-	phoP	DNA-binding response regulator in two-component regulatory system with PhoQ (NCBI)	0.4777	28	phoP	1189776	1190447
15253	b1131	1	7023	-	purB	adenylosuccinate lyase (NCBI)	0.523	43	purB	1190616	1191986
15254	b1132	1	7023	-	hflD	hypothetical protein (NCBI)	0.5717	13	hflD	1191990	1192631
15255	b1133	1	7023	-	ycfB	orf, hypothetical protein (VIMSS)	0.5375	31	mnmA	1192667	1193773
15256	b1134	1	7023	-	ymfB	bifunctional thiamin pyrimidine pyrophosphate hydrolase/ thiamin pyrophosphate hydrolase (NCBI)	0.5022	14	nudJ	1193827	1194288
15257	b1135	1	7023	-	ymfC	orf, hypothetical protein (VIMSS)	0.5122	21	rluE	1194298	1194951
15258	b1136	1	7023	+	icd	isocitrate dehydrogenase (NCBI)	0.502	39	icd	1195123	1196373
15259	b1137	1	7023	-	ymfD	e14 prophage; predicted SAM-dependent methyltransferase (NCBI)	0.3483	43	ymfD	1196867	1197532
15260	b1138	1	7023	-	ymfE	e14 prophage; predicted inner membrane protein (NCBI)	0.3092	60	ymfE	1197533	1198237
15261	b1139	1	7023	+	lit	e14 prophage; cell death peptidase, inhibitor of T4 late gene expression (NCBI)	0.368	48	lit	1198695	1199588
15262	b1140	1	7023	-	intE	e14 prophage; predicted integrase (NCBI)	0.4477	48	intE	1199679	1200806
15263	b1141	1	7023	-	ymfG	e14 prophage; predicted excisionase (NCBI)	0.4431	10	xisE	1200787	1201032
15265	b1143	1	7023	+	ymfI	orf, hypothetical protein (VIMSS)	0.386	16	ymfI	1201497	1201838
15266	b1144	1	7023	-	ymfJ	orf, hypothetical protein (VIMSS)	0.4693	10	ymfJ	1201776	1202084
15267	b1145	1	7023	-	ymfK	e14 prophage; repressor protein phage e14 (NCBI)	0.4444	27	ymfK	1202259	1202933
15268	b1146	1	7023	+	b1146	orf, hypothetical protein (VIMSS)	0.4279	9	ymfT	1203024	1203224
15269	b1147	1	7023	+	ymfL	e14 prophage; predicted DNA-binding transcriptional regulator (RefSeq)	0.4964	13	ymfL	1203268	1203825
15270	b1148	1	7023	+	ymfM	e14 prophage; predicted protein (NCBI)	0.4985	10	ymfM	1203822	1204160
7497344	b4692	7	7023	+	oweE	NA	0.5427	7	oweE	1204170	1204403
7497345	b4693	7	7023	+	aaaE	NA	0.5432	29	aaaE	1204401	1205537
15272	b1150	1	7023	+	ymfR	e14 prophage; predicted protein (NCBI)	0.6011	4	ymfR	1205549	1205731
15273	b1151	7	7023	+	ymfO	e14 prophage; conserved protein (RefSeq)	0.5558	10	beeE	1205731	1206204
15274	b1152	7	7023	+	ymfP	orf, hypothetical protein (VIMSS)	0.5782	21	jayE	1206131	1206922
15275	b1153	1	7023	+	ymfQ	e14 prophage; conserved protein (NCBI)	0.5726	10	ymfQ	1206913	1207497
15276	b1154	1	7023	+	ycfK	e14 prophage; predicted protein (NCBI)	0.5032	22	ycfK	1207501	1208130
15277	b1155	1	7023	+	ymfS	e14 prophage; predicted protein (NCBI)	0.4203	17	tfaP	1208132	1208545
15278	b1156	1	7023	-	tfaE	e14 prophage; predicted tail fiber assembly protein (NCBI)	0.4776	26	tfaE	1208517	1209119
5752726	b1157	7	7023	-	stfE	NA	0.4671	23	stfE	1209119	1209655
15280	b1158	1	7023	+	pin	e14 prophage; site-specific DNA recombinase (NCBI)	0.4883	10	pinE	1209685	1210239
15281	b1159	1	7023	+	mcrA	e14 prophage; 5-methylcytosine-specific restriction endonuclease B (NCBI)	0.3837	51	mcrA	1210346	1211179
1936422	b4519	7	7023	+	icdC	NA	0.4667	5	icdC	1211413	1211577
15282	b1160	1	7023	-	elbA	hypothetical protein (NCBI)	0.3395	30	iraM	1211680	1212003
15283	b1161	1	7023	-	ycgX	hypothetical protein (NCBI)	0.3679	28	ycgX	1212703	1213107
15284	b1162	1	7023	-	ycgE	predicted DNA-binding transcriptional regulator (NCBI)	0.4877	23	bluR	1213328	1214059
15285	b1163	1	7023	-	ycgF	predicted FAD-binding phosphodiesterase (NCBI)	0.4356	52	bluF	1214264	1215475
15286	b1164	1	7023	+	ycgZ	hypothetical protein (NCBI)	0.4177	6	ycgZ	1215789	1216025
15287	b1165	1	7023	+	ymgA	hypothetical protein (NCBI)	0.37	14	ymgA	1216068	1216340
15288	b1166	1	7023	+	ymgB	hypothetical protein (NCBI)	0.3483	18	ariR	1216369	1216635
15289	b1167	1	7023	+	ymgC	hypothetical protein (NCBI)	0.3574	17	ymgC	1216748	1216996
15290	b1168	1	7023	+	b1168	putative proteases (VIMSS)	0.4462	74	pdeG	1217328	1218851
1936424	b4520	1	7023	+	ymgF	hypothetical protein (NCBI)	0.4018	11	ymgF	1218983	1219201
1936425	b4491	7	7023	+	ycgH	NA	0.4328	153	ycgH	1219601	1222248
15293	b1171	1	7023	-	b1171	orf, hypothetical protein (VIMSS)	0.4515	11	ymgD	1222305	1222634
15294	b1172	1	7023	-	ymgG	conserved protein, UPF0757 family (RefSeq)	0.5217	10	ymgG	1222644	1222988
3446170	b4593	1	7023	-	ymgI	hypothetical protein (RefSeq)	0.3218	12	ymgI	1222990	1223163
3446171	b4594	1	7023	+	ymgJ	hypothetical protein (RefSeq)	0.3817	11	ymgJ	1223264	1223449
1936428	b4521	7	7023	+	ycgI	hypothetical protein (NCBI)	0.5029	17	ycgI	1223564	1223907
15296	b1174	1	7023	-	minE	cell division topological specificity factor MinE (NCBI)	0.4345	11	minE	1224279	1224545
15297	b1175	1	7023	-	minD	membrane ATPase of the MinC-MinD-MinE system (NCBI)	0.4994	34	minD	1224549	1225361
15298	b1176	1	7023	-	minC	septum formation inhibitor (NCBI)	0.5101	22	minC	1225385	1226080
15299	b1177	1	7023	+	ycgJ	hypothetical protein (NCBI)	0.4228	14	ycgJ	1226600	1226968
15300	b1178	1	7023	-	ycgK	hypothetical protein (NCBI)	0.4303	21	pliG	1227071	1227472
15301	b1179	1	7023	+	ycgL	conserved protein (NCBI)	0.4388	10	ycgL	1227681	1228007
15302	b1180	1	7023	+	ycgM	predicted isomerase/hydrolase (NCBI)	0.5197	19	ycgM	1228079	1228738
15303	b1181	1	7023	+	ycgN	conserved protein (RefSeq)	0.4762	15	ycgN	1228815	1229276
15304	b1182	1	7023	-	hlyE	hemolysin E (VIMSS)	0.4112	43	hlyE	1229483	1230394
15305	b1183	1	7023	+	umuD	DNA polymerase V, subunit D (NCBI)	0.481	19	umuD	1230767	1231186
15306	b1184	1	7023	+	umuC	DNA polymerase V subunit UmuC (NCBI)	0.5099	39	umuC	1231186	1232454
15307	b1185	1	7023	-	dsbB	reoxidizes DsbA protein following formation of disulfide bond in P-ring of flagella. (VIMSS)	0.5273	19	dsbB	1232500	1233030
15308	b1186	1	7023	-	nhaB	NhaB sodium/proton transporter (Katherine Huang)	0.5285	47	nhaB	1233176	1234717
15309	b1187	1	7023	+	fadR	fatty acid metabolism regulator (NCBI)	0.5125	30	fadR	1234938	1235657
15310	b1188	1	7023	-	ycgB	hypothetical protein (NCBI)	0.4984	65	ycgB	1235709	1237241
15311	b1189	1	7023	+	dadA	D-amino acid dehydrogenase small subunit (NCBI)	0.5627	38	dadA	1237571	1238869
15312	b1190	1	7023	+	dadX	alanine racemase (NCBI)	0.5798	35	dadX	1238879	1239949
15313	b1191	1	7023	-	b1191	orf, hypothetical protein (VIMSS)	0.5233	58	cvrA	1240335	1242071
15314	b1192	1	7023	-	ldcA	L,D-carboxypeptidase A (NCBI)	0.5301	27	ldcA	1242166	1243080
15315	b1193	1	7023	+	mltE	murein transglycosylase E (VIMSS)	0.5196	20	emtA	1243180	1243791
15316	b1194	1	7023	-	ycgR	protein involved in flagellar function (NCBI)	0.5075	25	ycgR	1243793	1244527
15317	b1195	1	7023	+	ymgE	predicted inner membrane protein (NCBI)	0.5333	7	ymgE	1244728	1244982
15318	b1196	1	7023	+	ycgY	hypothetical protein (NCBI)	0.415	23	ycgY	1245160	1245600
15319	b1197	1	7023	-	treA	periplasmic trehalase (NCBI)	0.523	51	treA	1245679	1247376
15320	b1198	1	7023	-	dhaM	fused predicted dihydroxyacetone-specific PTS enzymes: HPr component/EI component (RefSeq)	0.5018	56	dhaM	1247696	1249114
15321	b1199	1	7023	-	dhaL	dihydroxyacetone kinase, C-terminal domain (NCBI)	0.5355	21	dhaL	1249125	1249757
15322	b1200	1	7023	-	b1200	putative dihydroxyacetone kinase (EC 2.7.1.2) (VIMSS)	0.5303	36	dhaK	1249768	1250838
15323	b1201	1	7023	+	b1201	putative sensor-type regulator (VIMSS)	0.5146	64	dhaR	1251066	1252985
15324	b1202	1	7023	-	ycgV	predicted adhesin (NCBI)	0.4979	127	ycgV	1253085	1255952
15325	b1203	1	7023	-	ychF	translation-associated GTPase (NCBI)	0.5101	23	ychF	1256721	1257812
15326	b1204	1	7023	-	pth	peptidyl-tRNA hydrolase (NCBI)	0.4974	21	pth	1257929	1258513
15327	b1205	1	7023	+	ychH	predicted inner membrane protein (NCBI)	0.5305	11	ychH	1258791	1259069
15328	b1206	1	7023	-	ychM	orf, hypothetical protein (VIMSS)	0.5464	50	dauA	1259124	1260803
15329	b1207	1	7023	-	prsA	ribose-phosphate pyrophosphokinase (NCBI)	0.5253	33	prs	1260928	1261875
15330	b1208	1	7023	-	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (NCBI)	0.534	20	ispE	1262026	1262877
15331	b1209	1	7023	-	lolB	outer membrane lipoprotein LolB precursor (NCBI)	0.5144	22	lolB	1262877	1263500
15332	b1210	1	7023	+	hemA	glutamyl-tRNA reductase (NCBI)	0.5434	35	hemA	1263714	1264970
15333	b1211	1	7023	+	prfA	peptide chain release factor 1 (NCBI)	0.53	35	prfA	1265012	1266094
15334	b1212	1	7023	+	prmC	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase (NCBI)	0.5516	23	prmC	1266094	1266927
15335	b1213	1	7023	+	ychQ	predicted transcriptional regulator (NCBI)	0.4758	18	ychQ	1266924	1267316
15336	b1214	1	7023	+	ychA	predicted transcriptional regulator (NCBI)	0.4642	32	ychA	1267320	1268129
15337	b1215	1	7023	+	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase (NCBI)	0.5158	19	kdsA	1268165	1269019
1936439	b4419	1	7023	-	ldrA	toxic polypeptide, small (NCBI)	0.5556	3	ldrA	1269168	1269275
1936440	b4420	6	7023	+	rdlA	regulatory antisense RNA (NCBI)	0.5224	2	rdlA	1269323	1269389
1936441	b4421	1	7023	-	ldrB	toxic polypeptide, small (NCBI)	0.5833	3	ldrB	1269703	1269810
1936442	b4422	6	7023	+	rdlB	regulatory antisense sRNA (NCBI)	0.5	2	rdlB	1269858	1269923
1936443	b4423	1	7023	-	ldrC	toxic polypeptide, small (NCBI)	0.5556	3	ldrC	1270238	1270345
1936444	b4424	6	7023	+	rdlC	regulatory antisense sRNA (NCBI)	0.4853	2	rdlC	1270393	1270460
15338	b1216	1	7023	-	chaA	calcium/sodium:proton antiporter (NCBI)	0.4877	47	chaA	1270749	1271849
15339	b1217	1	7023	+	chaB	cation transport regulator (NCBI)	0.4545	10	chaB	1272119	1272349
15340	b1218	1	7023	+	chaC	regulatory protein for cation transport (RefSeq)	0.5474	15	chaC	1272507	1273202
15341	b1219	1	7023	-	ychN	hypothetical protein (NCBI)	0.5169	10	ychN	1273246	1273599
15342	b1220	1	7023	+	ychO	predicted invasin (RefSeq)	0.5054	49	ychO	1273784	1275178
15343	b1221	1	7023	-	narL	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ) (NCBI)	0.5177	23	narL	1275179	1275829
15344	b1222	1	7023	-	narX	sensory histidine kinase in two-component regulatory system with NarL (NCBI)	0.5337	51	narX	1275822	1277618
15345	b1223	1	7023	+	narK	nitrate/nitrite transporter (NCBI)	0.5366	34	narK	1277957	1279348
15346	b1224	1	7023	+	narG	nitrate reductase 1, alpha subunit (NCBI)	0.5494	103	narG	1279864	1283607
15347	b1225	1	7023	+	narH	nitrate reductase 1, beta (Fe-S) subunit (NCBI)	0.5374	48	narH	1283604	1285142
15348	b1226	1	7023	+	narJ	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1 (NCBI)	0.564	12	narJ	1285139	1285849
15349	b1227	1	7023	+	narI	nitrate reductase 1, gamma (cytochrome b(NR)) subunit (NCBI)	0.559	14	narI	1285849	1286526
1936445	b4425	6	7023	-	rttR	regulatory sRNA (NCBI)	0.5789	3	rttR	1287066	1287236
15351	b1229	1	7023	-	tpr	predicted protamine-like protein (RefSeq)	0.6444	0	tpr	1287087	1287176
1936446	b1230	5	7023	-	tyrV	tRNA-Tyr (NCBI)	0.5882	1	tyrV	1287244	1287328
1936447	b1231	5	7023	-	tyrT	tRNA-Tyr (NCBI)	0.5882	1	tyrT	1287538	1287622
15352	b1232	1	7023	-	purU	formyltetrahydrofolate deformylase (NCBI)	0.4721	34	purU	1287782	1288624
15353	b1233	1	7023	-	ychJ	hypothetical protein (NCBI)	0.4641	16	ychJ	1288674	1289132
15354	b1234	1	7023	+	rssA	conserved protein (RefSeq)	0.5022	31	rssA	1289245	1290150
15355	b1235	1	7023	+	rssB	response regulator of RpoS (NCBI)	0.4862	41	rssB	1290242	1291255
15356	b1236	1	7023	+	galU	glucose-1-phosphate uridylyltransferase (NCBI)	0.4697	38	galU	1291457	1292365
15357	b1237	1	7023	-	hns	global DNA-binding transcriptional dual regulator H-NS (NCBI)	0.4662	15	hns	1292509	1292922
15358	b1238	1	7023	+	tdk	thymidine kinase (NCBI)	0.4223	34	tdk	1293527	1294144
1936448	b4573	7	7023	-	insZ	NA	0.5291	18	insZ	1294426	1295322
15361	b1241	1	7023	-	adhE	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase (NCBI)	0.5064	86	adhE	1295446	1298121
15362	b1242	1	7023	+	ychE	predicted inner membrane protein (NCBI)	0.4784	28	ychE	1298598	1299245
15363	b1243	1	7023	+	oppA	oligopeptide transporter subunit (NCBI)	0.4773	67	oppA	1301182	1302813
15364	b1244	1	7023	+	oppB	oligopeptide permease ABC transporter membrane protein (NCBI)	0.4571	51	oppB	1302899	1303819
15365	b1245	1	7023	+	oppC	oligopeptide transporter subunit (NCBI)	0.5237	27	oppC	1303834	1304742
1936449	b1246	1	7023	+	oppD	oligopeptide transporter ATP-binding component (NCBI)	0.5178	28	oppD	1304754	1305767
15367	b1247	1	7023	+	oppF	oligopeptide transporter subunit (NCBI)	0.5154	31	oppF	1305764	1306768
15368	b1248	1	7023	-	b1248	orf, hypothetical protein (VIMSS)	0.4727	4	yciU	1306821	1307150
15369	b1249	1	7023	-	cls	cardiolipin synthetase (NCBI)	0.5168	53	clsA	1307185	1308645
3446172	b4595	1	7023	+	yciY	hypothetical protein (RefSeq)	0.5057	7	yciY	1308788	1308961
15370	b1250	1	7023	-	kch	voltage-gated potassium channel (NCBI)	0.4234	55	kch	1309016	1310269
15371	b1251	1	7023	-	yciI	orf, hypothetical protein (VIMSS)	0.4882	11	yciI	1310569	1310865
15372	b1252	1	7023	+	tonB	membrane spanning protein in TonB-ExbB-ExbD complex (NCBI)	0.5444	22	tonB	1311089	1311808
15373	b1253	1	7023	-	yciA	predicted hydrolase (NCBI)	0.4837	18	yciA	1311848	1312246
15374	b1254	1	7023	-	yciB	intracellular septation protein A (NCBI)	0.4648	22	yciB	1312351	1312890
15375	b1255	1	7023	-	yciC	hypothetical protein (NCBI)	0.4933	29	yciC	1312920	1313663
15376	b1256	1	7023	+	ompW	outer membrane protein W (NCBI)	0.5008	27	ompW	1314020	1314658
15377	b1257	1	7023	-	yciE	hypothetical protein (NCBI)	0.4063	24	yciE	1314718	1315224
15378	b1258	1	7023	-	yciF	hypothetical protein (NCBI)	0.4311	14	yciF	1315270	1315770
15379	b1259	1	7023	-	yciG	orf, hypothetical protein (VIMSS)	0.5111	6	yciG	1315856	1316035
15380	b1260	1	7023	-	trpA	tryptophan synthase subunit alpha (NCBI)	0.5353	19	trpA	1316416	1317222
15381	b1261	1	7023	-	trpB	tryptophan synthase subunit beta (NCBI)	0.5469	31	trpB	1317222	1318415
15382	b1262	1	7023	-	trpC	N-(5-phosphoribosyl)anthranilate isomerase and indole-3-glycerolphosphate synthetase (VIMSS)	0.5283	43	trpC	1318427	1319788
15383	b1263	1	7023	-	trpD	bifunctional indole-3-glycerol-phosphate synthase/anthranilate phosphoribosyltransferase (NCBI)	0.5639	42	trpD	1319789	1321384
15384	b1264	1	7023	-	trpE	anthranilate synthase component I (NCBI)	0.5438	44	trpE	1321384	1322946
15385	b1265	1	7023	-	trpL	trp operon leader peptide (NCBI)	0.4444	1	trpL	1323038	1323082
15386	b1266	1	7023	+	yciV	hypothetical protein (NCBI)	0.5408	20	rnm	1323220	1324101
15387	b1267	1	7023	+	yciO	orf, hypothetical protein (VIMSS)	0.4815	24	yciO	1324098	1324718
15388	b1268	1	7023	+	yciQ	predicted inner membrane protein (NCBI)	0.4699	93	yciQ	1324746	1326641
15389	b1269	1	7023	+	rluB	23S rRNA pseudouridylate synthase (NCBI)	0.5377	23	rluB	1326852	1327727
15390	b1270	1	7023	-	btuR	cob(I)yrinic acid a,c-diamide adenosyltransferase (NCBI)	0.5025	22	btuR	1327767	1328357
15391	b1271	1	7023	-	yciK	short chain dehydrogenase (NCBI)	0.5244	23	yciK	1328354	1329112
15392	b1272	1	7023	+	sohB	predicted inner membrane peptidase (NCBI)	0.5057	31	sohB	1329332	1330381
15393	b1273	1	7023	-	yciN	hypothetical protein (NCBI)	0.4722	8	yciN	1330417	1330668
15394	b1274	1	7023	+	topA	DNA topoisomerase I (NCBI)	0.5177	79	topA	1331048	1333645
15395	b1275	1	7023	+	cysB	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding (NCBI)	0.4831	43	cysB	1333855	1334829
1936456	b4522	1	7023	+	yciX_1	hypothetical protein (NCBI)	0.4961	2	ymiA	1335148	1335288
1936457	b4523	1	7023	+	yciX	hypothetical protein (RefSeq)	0.4583	6	yciX	1335291	1335458
15396	b1276	1	7023	+	acnA	aconitate hydratase (NCBI)	0.5291	91	acnA	1335831	1338506
15397	b1277	1	7023	-	ribA	GTP cyclohydrolase II protein (NCBI)	0.5008	23	ribA	1338570	1339160
15398	b1278	1	7023	+	pgpB	phosphatidylglycerophosphatase B (NCBI)	0.5059	21	pgpB	1339330	1340094
15399	b1279	1	7023	+	yciS	conserved inner membrane protein (NCBI)	0.5016	10	lapA	1340243	1340551
15400	b1280	1	7023	+	yciM	hypothetical protein (NCBI)	0.5188	44	lapB	1340558	1341727
15401	b1281	1	7023	+	pyrF	orotidine 5'-phosphate decarboxylase (NCBI)	0.5298	12	pyrF	1341921	1342658
15402	b1282	1	7023	+	yciH	orf, hypothetical protein (VIMSS)	0.4985	13	yciH	1342658	1342984
15403	b1283	1	7023	-	osmB	lipoprotein (NCBI)	0.5205	9	osmB	1343110	1343328
15404	b1284	1	7023	-	yciT	predicted DNA-binding transcriptional regulator (NCBI)	0.488	22	yciT	1343597	1344346
3446173	b4596	1	7023	-	yciZ	hypothetical protein (RefSeq)	0.477	9	yciZ	1344436	1344609
15405	b1285	1	7023	-	gmr	modulator of Rnase II stability (NCBI)	0.4849	70	pdeR	1344757	1346742
7497346	b4672	1	7023	+	ymiB	expressed protein (RefSeq)	0.3048	7	ymiB	1346796	1346900
15406	b1286	1	7023	-	rnb	exoribonuclease II (NCBI)	0.5323	39	rnb	1346978	1348912
15407	b1287	1	7023	-	yciW	putative oxidoreductase (VIMSS)	0.508	40	yciW	1348980	1350107
15408	b1288	1	7023	-	fabI	enoyl-(acyl carrier protein) reductase (NCBI)	0.5323	22	fabI	1350251	1351039
15409	b1289	1	7023	-	ycjD	hypothetical protein (NCBI)	0.4972	10	ycjD	1351407	1351760
15410	b1290	1	7023	-	sapF	predicted antimicrobial peptide transporter subunit (NCBI)	0.5118	28	sapF	1351828	1352634
15411	b1291	1	7023	-	sapD	predicted antimicrobial peptide transporter subunit (NCBI)	0.5136	27	sapD	1352636	1353628
15412	b1292	1	7023	-	sapC	predicted antimicrobial peptide transporter subunit (NCBI)	0.569	25	sapC	1353628	1354518
