locusId	sysName	type	scaffoldId	begin	end	strand	old_name	desc	GC	nTA	name
15304	b1182	1	7023	1228706	1229617	-	hlyE	hemolysin E (VIMSS)	0.4112	43	hlyE
15314	b1192	1	7023	1241389	1242303	-	ldcA	L,D-carboxypeptidase A (NCBI)	0.5301	27	ldcA
15325	b1203	1	7023	1255944	1257035	-	ychF	translation-associated GTPase (NCBI)	0.5101	23	ychF
15326	b1204	1	7023	1257152	1257736	-	pth	peptidyl-tRNA hydrolase (NCBI)	0.4974	21	pth
15329	b1207	1	7023	1260151	1261098	-	prsA	ribose-phosphate pyrophosphokinase (NCBI)	0.5253	33	prs
15330	b1208	1	7023	1261249	1262100	-	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (NCBI)	0.534	20	ispE
15331	b1209	1	7023	1262100	1262723	-	lolB	outer membrane lipoprotein LolB precursor (NCBI)	0.5144	22	lolB
15332	b1210	1	7023	1262937	1264193	+	hemA	glutamyl-tRNA reductase (NCBI)	0.5434	35	hemA
15333	b1211	1	7023	1264235	1265317	+	prfA	peptide chain release factor 1 (NCBI)	0.53	35	prfA
15334	b1212	1	7023	1265317	1266150	+	prmC	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase (NCBI)	0.5516	23	prmC
15337	b1215	1	7023	1267388	1268242	+	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase (NCBI)	0.5158	19	kdsA
1936439	b4419	1	7023	1268391	1268498	-	ldrA	toxic polypeptide, small (NCBI)	0.5556	3	ldrA
1936440	b4420	6	7023	1268546	1268612	+	rdlA	regulatory antisense RNA (NCBI)	0.5224	2	rdlA
1936441	b4421	1	7023	1268926	1269033	-	ldrB	toxic polypeptide, small (NCBI)	0.5833	3	ldrB
1936442	b4422	6	7023	1269081	1269146	+	rdlB	regulatory antisense sRNA (NCBI)	0.5	2	rdlB
1936443	b4423	1	7023	1269461	1269568	-	ldrC	toxic polypeptide, small (NCBI)	0.5556	3	ldrC
1936444	b4424	6	7023	1269616	1269683	+	rdlC	regulatory antisense sRNA (NCBI)	0.4853	2	rdlC
15339	b1217	1	7023	1271342	1271572	+	chaB	cation transport regulator (NCBI)	0.4545	10	chaB
1936445	b4425	6	7023	1286289	1286459	-	rttR	regulatory sRNA (NCBI)	0.5789	3	rttR
15351	b1229	1	7023	1286310	1286399	-	tpr	predicted protamine-like protein (RefSeq)	0.6444	0	tpr
1936446	b1230	5	7023	1286467	1286551	-	tyrV	tRNA-Tyr (NCBI)	0.5882	1	tyrV
15356	b1236	1	7023	1290680	1291588	+	galU	glucose-1-phosphate uridylyltransferase (NCBI)	0.4697	38	galU
15357	b1237	1	7023	1291732	1292145	-	hns	global DNA-binding transcriptional dual regulator H-NS (NCBI)	0.4662	15	hns
15374	b1254	1	7023	1310375	1310914	-	yciB	intracellular septation protein A (NCBI)	0.4648	22	yciB
15377	b1257	1	7023	1312742	1313248	-	yciE	hypothetical protein (NCBI)	0.4063	24	yciE
15378	b1258	1	7023	1313294	1313794	-	yciF	hypothetical protein (NCBI)	0.4311	14	yciF
15385	b1265	1	7023	1321062	1321106	-	trpL	trp operon leader peptide (NCBI)	0.4444	1	trpL
15394	b1274	1	7023	1329072	1331669	+	topA	DNA topoisomerase I (NCBI)	0.5177	79	topA
15395	b1275	1	7023	1331879	1332853	+	cysB	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding (NCBI)	0.4831	43	cysB
15397	b1277	1	7023	1336594	1337184	-	ribA	GTP cyclohydrolase II protein (NCBI)	0.5008	23	ribA
15400	b1280	1	7023	1338582	1339751	+	yciM	hypothetical protein (NCBI)	0.5188	44	lapB
7497346	b4672	1	7023	1344820	1344924	+	ymiB	expressed protein (RefSeq)	0.3048	7	ymiB
15406	b1286	1	7023	1345002	1346936	-	rnb	exoribonuclease II (NCBI)	0.5323	39	rnb
15408	b1288	1	7023	1348275	1349063	-	fabI	enoyl-(acyl carrier protein) reductase (NCBI)	0.5323	22	fabI
15411	b1291	1	7023	1350660	1351652	-	sapD	predicted antimicrobial peptide transporter subunit (NCBI)	0.5136	27	sapD
15412	b1292	1	7023	1351652	1352542	-	sapC	predicted antimicrobial peptide transporter subunit (NCBI)	0.569	25	sapC
15413	b1293	1	7023	1352529	1353494	-	sapB	predicted antimicrobial peptide transporter subunit (NCBI)	0.5145	29	sapB
7497347	b4673	7	7023	1388892	1388957	-	ymjD	NA	0.3636	5	ymjD
15451	b1331	1	7023	1394100	1395116	+	insH-4	IS5 transposase and trans-activator (NCBI)	0.5467	13	insH4
15452	b1332	1	7023	1395389	1395646	+	ynaJ	predicted inner membrane protein (NCBI)	0.4535	9	ynaJ
15460	b1340	1	7023	1404003	1404566	+	ydaL	hypothetical protein (NCBI)	0.5426	19	smrA
10279117	b4699	6	7023	1407153	1407274	+	fnrS	FNR-activated anaerobic sRNA antisense regulator down regulates cydDC, metE, sodA, sodB, Hfq-dependent; mediates negative FNR regulation (RefSeq)	0.4426	5	fnrS
15467	b1347	1	7023	1411555	1411764	-	ydaC	Rac prophage; predicted protein (NCBI)	0.3476	9	rcbA
15471	b1351	1	7023	1415512	1415787	-	racC	Rac prophage; predicted protein (NCBI)	0.3913	10	racC
1936475	b4526	1	7023	1415862	1416032	-	ydaE	Rac prophage; conserved protein (NCBI)	0.3684	4	ydaE
15473	b1352	1	7023	1416032	1416253	-	ydaD	orf, hypothetical protein (VIMSS)	0.4189	13	kilR
15478	b1356	1	7023	1417789	1418265	-	racR	Rac prophage; predicted DNA-binding transcriptional regulator (NCBI)	0.4193	24	racR
15483	b1361	7	7023	1420725	1421224	+	ydaW	orf, hypothetical protein (VIMSS)	0.478	12	ydaW
1936482	b4528	1	7023	1421424	1421609	+	rzoR	Rac prophage; predicted lipoprotein (NCBI)	0.5699	2	rzoR
15485	b1363	1	7023	1421806	1423263	+	trkG	Rac prophage; potassium transporter subunit (NCBI)	0.3807	93	trkG
15495	b1373	1	7023	1430435	1431010	+	tfaR	Rac prophage; predicted tail fiber assembly protein (NCBI)	0.4809	20	tfaR
15496	b1374	1	7023	1431108	1431698	-	pinR	Rac prophage; predicted site-specific recombinase (NCBI)	0.4467	18	pinR
15497	b1375	1	7023	1432015	1432248	-	ynaE	cold shock protein, function unknown, Rac prophage (NCBI)	0.359	14	ynaE
3446175	b4638	7	7023	1432982	1433032	-	ttcC	NA	0.3137	3	ttcC
1936487	b4427	6	7023	1435145	1435253	+	micC	regulatory sRNA (NCBI)	0.3853	4	micC
15511	b1389	1	7023	1452892	1453179	+	paaB	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation (NCBI)	0.4965	6	paaB
7497348	b4674	1	7023	1463189	1463254	-	ynbG	expressed protein (RefSeq)	0.1364	11	ynbG
15524	b1402	1	7023	1465945	1466850	-	insD-2	IS2 insertion element transposase InsAB' (NCBI)	0.5508	25	insD2
15525	b1403	1	7023	1466808	1467173	-	insC	KpLE2 phage-like element; IS2 insertion element repressor InsA (RefSeq)	0.5301	8	insC2
15526	b1404	1	7023	1467382	1468533	+	insI-2	IS30 transposase (NCBI)	0.4583	53	insI2
15531	b1409	1	7023	1476250	1477146	+	ynbB	predicted CDP-diglyceride synthase (NCBI)	0.4359	49	ynbB
3446176	b4597	6	7023	1489467	1489530	-	rydC	sRNA regulator of yejABEF (RefSeq)	0.5	5	rydC
1936500	b4428	1	7023	1489946	1490095	-	hokB	toxic polypeptide, small (NCBI)	0.5333	4	hokB
1936501	b4429	6	7023	1490143	1490198	+	sokB	Antisense sRNA blocking mokB, and hence hokB, translation (RefSeq)	0.5179	2	sokB
15550	b1429	1	7023	1498597	1499589	+	tehA	potassium-tellurite ethidium and proflavin transporter (NCBI)	0.5317	28	tehA
15557	b1436	1	7023	1506858	1507088	-	yncJ	hypothetical protein (NCBI)	0.4892	4	yncJ
15566	b1445	1	7023	1515413	1515586	+	b1445	orf, hypothetical protein (VIMSS)	0.4483	5	ortT
15568	b1447	1	7023	1515906	1516355	-	ydcZ	predicted inner membrane protein (NCBI)	0.5178	13	ydcZ
15576	b1455	1	7023	1524964	1525176	+	yncH	hypothetical protein (NCBI)	0.3146	13	yncH
15578	b1457	1	7023	1527946	1528428	+	ydcD	hypothetical protein (NCBI)	0.2733	47	ydcD
15580	b1459	7	7023	1528610	1529663	+	yncI	hypothetical protein (NCBI)	0.3786	48	yncI
15581	b1460	1	7023	1529840	1530976	+	ydcC	hypothetical protein (NCBI)	0.4178	44	ydcC
15591	b1470	1	7023	1542408	1542743	-	yddJ	hypothetical protein (NCBI)	0.3571	29	yddJ
15592	b1471	7	7023	1542782	1543771	-	yddK	hypothetical protein (RefSeq)	0.3242	76	yddK
15593	b1472	7	7023	1543774	1544052	-	yddL	predicted lipoprotein (RefSeq)	0.4229	19	yddL
15598	b1477	1	7023	1550422	1550706	-	yddM	predicted DNA-binding transcriptional regulator (RefSeq)	0.5123	3	yddM
15614	b1493	1	7023	1568669	1570069	-	gadB	glutamate decarboxylase B, PLP-dependent (NCBI)	0.5332	38	gadB
15618	b1497	1	7023	1577657	1578814	-	b1497	putative enzyme (VIMSS)	0.3869	62	ydeM
15620	b1499	1	7023	1580950	1581711	-	ydeO	predicted DNA-binding transcriptional acfivator (NCBI)	0.395	35	ydeO
5752727	b1500	1	7023	1581786	1581983	-	yneN	Two component system connector membrane protein, EvgSA to PhoQP (RefSeq)	0.3737	9	safA
15627	b1506	7	7023	1588358	1588560	-	yneL	predicted transcriptional regulator (NCBI)	0.4631	9	yneL
15629	b1508	1	7023	1590200	1590466	-	hipB	DNA-binding transcriptional regulator (NCBI)	0.4457	6	hipB
15653	b1532	1	7023	1618013	1618231	+	marB	hypothetical protein (NCBI)	0.5023	7	marB
3446178	b4599	1	7023	1620670	1620765	+	yneM	hypothetical protein (RefSeq)	0.3854	6	mgtS
15658	b1536	1	7023	1622129	1622521	-	ydeI	hypothetical protein (NCBI)	0.4758	12	ydeI
15663	b1541	1	7023	1627239	1627442	+	ydfZ	hypothetical protein (NCBI)	0.5196	5	ydfZ
15666	b1544	1	7023	1631096	1631329	+	ydfK	cold shock protein, function unknown, Qin prophage (NCBI)	0.3547	14	ydfK
15667	b1545	1	7023	1631646	1632236	+	pinQ	Qin prophage; predicted site-specific recombinase (NCBI)	0.4484	18	pinQ
15668	b1546	1	7023	1632334	1632909	-	tfaQ	Qin prophage; predicted tail fibre assembly protein (NCBI)	0.4826	20	tfaQ
15671	b1549	1	7023	1635071	1635481	+	ydfO	orf, hypothetical protein (VIMSS)	0.3163	33	ydfO
15673	b1551	1	7023	1635978	1636133	-	b1551	orf, hypothetical protein (VIMSS)	0.4359	6	ynfN
15674	b1552	1	7023	1636479	1636691	-	cspI	Qin prophage; cold shock protein (NCBI)	0.4038	5	cspI
7497350	b4689	1	7023	1637104	1637358	-	rzoQ	hypothetical protein (RefSeq)	0.4941	8	rzoQ
15676	b1554	1	7023	1637548	1638081	-	ydfQ	Qin prophage; predicted lysozyme (NCBI)	0.5056	19	rrrQ
15677	b1555	1	7023	1638078	1638389	-	ydfR	Qin prophage; predicted protein (NCBI)	0.4359	12	ydfR
15683	b1561	1	7023	1642675	1642926	-	rem	Qin prophage; predicted protein (NCBI)	0.4048	9	rem
15686	b1564	1	7023	1643657	1643896	-	relB	Qin prophage; bifunctional antitoxin of the RelE-RelB toxin-antitoxin system/ transcriptional repressor (NCBI)	0.4708	9	relB
15692	b1570	1	7023	1645958	1646365	+	dicA	Qin prophage; predicted regulator for DicB (NCBI)	0.4363	13	dicA
15693	b1571	1	7023	1646532	1646687	+	ydfA	Qin prophage; predicted protein (NCBI)	0.4808	4	ydfA
15695	b1573	1	7023	1646847	1647065	+	ydfC	Qin prophage; predicted protein (RefSeq)	0.4795	8	ydfC
1936540	b1574	6	7023	1647406	1647458	+	dicF	antisense RNA DicF (NCBI)	0.5472	2	dicF
15697	b1576	1	7023	1647818	1648009	+	ydfD	Qin prophage; predicted protein (NCBI)	0.4323	8	ydfD
15699	b1578	7	7023	1648869	1649561	+	insD	Qin prophage; IS2 insertion element transposase InsAB', C-ter fragment (pseudogene) (RefSeq)	0.5455	18	insD7
3446181	b4601	1	7023	1669801	1669884	+	ydgU	hypothetical protein (RefSeq)	0.4286	5	ydgU
15720	b1599	1	7023	1670844	1671173	-	mdtI	multidrug efflux system transporter (NCBI)	0.5152	9	mdtI
15721	b1600	1	7023	1671160	1671525	-	mdtJ	multidrug efflux system transporter (NCBI)	0.4235	24	mdtJ
15752	b1631	1	7023	1708228	1708848	+	rsxG	electron transport complex protein RnfG (NCBI)	0.5314	18	rsxG
15758	b1637	1	7023	1713972	1715246	-	tyrS	tyrosyl-tRNA synthetase (NCBI)	0.5153	31	tyrS
15759	b1638	1	7023	1715375	1716031	-	pdxH	pyridoxamine 5'-phosphate oxidase (NCBI)	0.519	17	pdxH
1936555	b1641	1	7023	1717900	1718367	+	slyB	outer membrane lipoprotein (NCBI)	0.5128	18	slyB
15767	b1646	1	7023	1722158	1722679	-	sodC	superoxide dismutase, Cu, Zn (NCBI)	0.5287	13	sodC
15770	b1649	1	7023	1724047	1724646	+	ydhM	predicted DNA-binding transcriptional regulator (RefSeq)	0.5233	18	nemR
15773	b1652	1	7023	1726371	1727018	+	rnt	ribonuclease T (NCBI)	0.5417	14	rnt
15775	b1654	1	7023	1731778	1732125	-	ydhD	hypothetical protein (NCBI)	0.5259	7	grxD
3446182	b4602	1	7023	1735480	1735569	-	ynhF	hypothetical protein (RefSeq)	0.5	4	cydH
15783	b1662	1	7023	1740625	1741266	-	ribC	riboflavin synthase subunit alpha (NCBI)	0.4751	24	ribC
1936563	b1665	5	7023	1744459	1744535	+	valV	tRNA-Val (NCBI)	0.5325	1	valV
1936564	b1666	5	7023	1744540	1744616	+	valW	tRNA-Val (NCBI)	0.6104	1	valW
1936567	b4430	6	7023	1762737	1762804	-	rydB	regulatory sRNA (NCBI)	0.5294	3	rydB
15809	b1690	1	7023	1769095	1770309	+	ydiM	predicted transporter (NCBI)	0.4494	73	ydiM
15819	b1700	1	7023	1780705	1780998	+	ydiT	predicted 4Fe-4S ferredoxin-type protein (NCBI)	0.4796	11	ydiT
15824	b1705	1	7023	1787637	1787828	+	ydiE	hypothetical protein (NCBI)	0.5052	5	ydiE
15828	b1709	1	7023	1790833	1791582	-	btuD	vitamin B12-transporter ATPase (NCBI)	0.552	13	btuD
15831	b1712	1	7023	1793277	1793576	-	ihfA	integration host factor subunit alpha (NCBI)	0.5	9	ihfA
15832	b1713	1	7023	1793581	1795968	-	pheT	phenylalanyl-tRNA synthetase beta subunit (NCBI)	0.5436	47	pheT
15833	b1714	1	7023	1795983	1796966	-	pheS	phenylalanyl-tRNA synthetase alpha subunit (NCBI)	0.5386	25	pheS
15834	b1715	1	7023	1797250	1797294	-	pheM	phenylalanyl-tRNA synthetase operon leader peptide (NCBI)	0.3556	3	pheM
15835	b1716	1	7023	1797417	1797773	-	rplT	50S ribosomal protein L20 (NCBI)	0.4818	16	rplT
15836	b1717	1	7023	1797826	1798023	-	rpmI	50S ribosomal subunit protein A (VIMSS)	0.5	6	rpmI
15837	b1718	1	7023	1798120	1798662	-	infC	translation initiation factor IF-3 (NCBI)	0.4862	19	infC
15838	b1719	1	7023	1798666	1800594	-	thrS	threonyl-tRNA synthetase (NCBI)	0.4956	68	thrS
1936577	b4535	1	7023	1803189	1803296	+	yniD	predicted protein (RefSeq)	0.4815	4	yniD
15854	b1736	1	7023	1817479	1817829	-	chbA	N,N'-diacetylchitobiose-specific enzyme IIA component of PTS (NCBI)	0.4986	5	chbA
15858	b1740	1	7023	1820482	1821309	+	nadE	NAD synthetase (NCBI)	0.4952	31	nadE
15877	b1759	1	7023	1839514	1839921	+	nudG	pyrimidine (deoxy)nucleoside triphosphate pyrophosphohydrolase (NCBI)	0.549	11	nudG
15880	b1762	1	7023	1841855	1842895	-	b1762	orf, hypothetical protein (VIMSS)	0.4131	54	ynjI
15891	b1773	1	7023	1854957	1855793	-	ydjI	predicted aldolase (NCBI)	0.454	30	ydjI
15897	b1779	1	7023	1860795	1861790	+	gapA	glyceraldehyde-3-phosphate dehydrogenase (NCBI)	0.5	37	gapA
15906	b1788	1	7023	1872102	1872206	-	b1788	orf, hypothetical protein (VIMSS)	0.4286	3	yoaI
7497351	b4676	1	7023	1876797	1876895	+	yoaK	expressed protein (RefSeq)	0.4242	8	yoaK
15925	b1807	1	7023	1888596	1889291	-	yeaZ	predicted peptidase (NCBI)	0.556	20	tsaB
15943	b1825	1	7023	1906285	1906572	-	yebO	hypothetical protein (NCBI)	0.434	6	yebO
15944	b1826	1	7023	1906647	1906790	-	yobG	hypothetical protein (NCBI)	0.4653	3	mgrB
1936611	b4432	6	7023	1921090	1921338	+	ryeA	unknown RNA (NCBI)	0.4578	9	ryeA
1936612	b4433	6	7023	1921188	1921308	-	ryeB	unknown RNA (NCBI)	0.4628	5	sdsR
15970	b1852	1	7023	1932863	1934338	-	zwf	glucose-6-phosphate 1-dehydrogenase (NCBI)	0.5169	44	zwf
15978	b1860	1	7023	1942370	1943380	-	ruvB	Holliday junction DNA helicase B (NCBI)	0.5272	26	ruvB
15979	b1861	1	7023	1943389	1944000	-	ruvA	Holliday junction DNA helicase motor protein (NCBI)	0.5327	14	ruvA
7497353	b4677	1	7023	1944139	1944204	-	yobI	expressed protein (RefSeq)	0.197	7	yobI
15981	b1863	1	7023	1944879	1945400	-	ruvC	Holliday junction resolvase (NCBI)	0.5594	17	ruvC
15983	b1865	1	7023	1946204	1946656	-	nudB	dATP pyrophosphohydrolase (NCBI)	0.5254	12	nudB
15984	b1866	1	7023	1946774	1948546	-	aspS	aspartyl-tRNA synthetase (NCBI)	0.5375	50	aspS
15994	b1876	1	7023	1958086	1959819	+	argS	arginyl-tRNA synthetase (NCBI)	0.5329	47	argS
15995	b1877	1	7023	1959996	1960484	+	yecT	orf, hypothetical protein (VIMSS)	0.3885	25	yecT
16000	b1882	1	7023	1965072	1965461	-	cheY	chemotaxis regulator transmitting signal to flagellar motor component (NCBI)	0.4923	10	cheY
16011	b1893	1	7023	1976542	1977045	-	insB-5	IS1 transposase InsAB' (NCBI)	0.5456	16	insB5
16012	b1894	1	7023	1976964	1977239	-	insA-5	IS1 repressor protein InsA (NCBI)	0.529	9	insA5
16020	b4537	1	7023	1985531	1985782	-	b1903	orf, hypothetical protein (VIMSS)	0.4841	6	yecJ
7497354	b4663	1	7023	1985897	1985983	-	azuC	expressed protein (RefSeq)	0.3908	5	azuC
16023	b1906	1	7023	1987275	1987514	-	yecH	hypothetical protein (NCBI)	0.4708	8	yecH
1936626	b1909	5	7023	1989839	1989925	-	leuZ	tRNA-Leu (NCBI)	0.5977	2	leuZ
1936627	b1910	5	7023	1989938	1990011	-	cysT	tRNA-Cys (NCBI)	0.5676	3	cysT
1936628	b1911	5	7023	1990066	1990141	-	glyW	tRNA-Gly (NCBI)	0.6053	2	glyW
16026	b1912	1	7023	1990293	1990841	-	pgsA	phosphatidylglycerophosphate synthetase (NCBI)	0.5246	16	pgsA
1936634	b4495	7	7023	2009247	2009381	-	yedN	NA	0.3185	12	yedN
16050	b1936	7	7023	2010526	2010687	+	intG	predicted defective phage integrase (pseudogene) (RefSeq)	0.5	5	intG
16051	b1937	1	7023	2010724	2011038	-	fliE	flagellar hook-basal body protein FliE (NCBI)	0.5397	10	fliE
16061	b1947	1	7023	2019528	2019893	+	fliO	flagellar biosynthesis (VIMSS)	0.5464	8	fliO
16065	b1951	1	7023	2021992	2022615	+	rcsA	DNA-binding transcriptional activator, co-regulator with RcsB (NCBI)	0.3814	32	rcsA
1936644	b1975	5	7023	2041492	2041581	-	serU	tRNA-Ser (NCBI)	0.6333	2	serU
1936648	b4497	7	7023	2050300	2051352	-	yeeL	NA	0.3875	66	yeeL
1936650	b1986	5	7023	2057875	2057950	+	asnU	tRNA-Asn (NCBI)	0.5263	3	asnU
3446185	b4639	7	7023	2064092	2064178	-	yeeH	NA	0.4138	5	yeeH
16102	b1994	1	7023	2064329	2065345	-	insH-6	CP4-44 prophage; IS5 transposase and trans-activator (NCBI)	0.5467	14	insH6
16104	b1996	1	7023	2066976	2067881	-	insD-3	CP4-44 prophage; IS2 insertion element transposase InsAB' (NCBI)	0.5508	25	insD3
1936653	b1997	1	7023	2067839	2068204	-	insC	KpLE2 phage-like element; IS2 insertion element repressor InsA (RefSeq)	0.5301	8	insC3
7497355	b4678	1	7023	2085076	2085138	-	yoeI	expressed protein (RefSeq)	0.4444	3	yoeI
16126	b2018	1	7023	2088020	2088070	+	hisL	his operon leader peptide (NCBI)	0.4314	1	hisL
16139	b2030	1	7023	2099919	2100935	-	insH-7	IS5 transposase and trans-activator (NCBI)	0.5467	13	insH7
16163	b2055	1	7023	2126928	2127674	-	wcaE	predicted glycosyl transferase (NCBI)	0.4552	34	wcaE
16173	b2065	1	7023	2139658	2140239	-	dcd	deoxycytidine triphosphate deaminase (NCBI)	0.6031	11	dcd
7497356	b4667	1	7023	2151373	2151432	-	ibsA	toxic membrane protein (RefSeq)	0.4	4	ibsA
1936677	b4437	6	7023	2151668	2151803	+	ryeD	Novel sRNA, function unknown; paralogous to the other QUAD sRNA genes (RefSeq)	0.5368	8	sibB
7497357	b4668	1	7023	2151705	2151761	-	ibsB	toxic membrane protein (RefSeq)	0.4386	3	ibsB
16196	b2088	1	7023	2168260	2168559	+	insE	IS3 element protein InsE (RefSeq)	0.5	7	insE5
16197	b2089	1	7023	2168556	2169422	+	insF-5	IS3 element protein InsF (NCBI)	0.5513	29	insF5
16215	b2108	1	7023	2185402	2186436	-	yehA	predicted fimbrial-like adhesin protein (NCBI)	0.3874	67	yehA
1936696	b4542	1	7023	2213679	2213786	+	yohO	hypothetical protein (NCBI)	0.4907	6	yohO
16262	b2153	1	7023	2241006	2241674	-	folE	GTP cyclohydrolase I (NCBI)	0.5127	15	folE
16277	b2168	1	7023	2259449	2260387	-	fruK	1-phosphofructokinase (NCBI)	0.5346	23	fruK
16294	b2185	1	7023	2280539	2280823	+	rplY	50S ribosomal protein L25 (NCBI)	0.5053	10	rplY
16300	b2192	1	7023	2287087	2288103	-	insH-8	IS5 transposase and trans-activator (NCBI)	0.5467	13	insH8
3446192	b4604	1	7023	2301628	2301792	+	yojO	hypothetical protein (RefSeq)	0.4	10	yojO
1936711	b4439	6	7023	2311106	2311198	+	micF	regulatory sRNA (NCBI)	0.3548	6	micF
16338	b2231	1	7023	2334815	2337442	-	gyrA	DNA gyrase subunit A (NCBI)	0.54	71	gyrA
16339	b2232	1	7023	2337589	2338311	+	ubiG	3-demethylubiquinone-9 3-methyltransferase (NCBI)	0.5422	16	ubiG
16341	b2234	1	7023	2342887	2345172	+	nrdA	ribonucleotide-diphosphate reductase alpha subunit (NCBI)	0.5367	83	nrdA
16342	b2235	1	7023	2345406	2346536	+	nrdB	ribonucleotide-diphosphate reductase beta subunit (NCBI)	0.5057	36	nrdB
16345	b2238	7	7023	2347673	2347915	+	yfaH	hypothetical protein (RefSeq)	0.4115	10	yfaH
16376	b2269	1	7023	2380735	2381946	+	elaD	predicted enzyme (NCBI)	0.354	76	elaD
16380	b2273	1	7023	2385732	2386448	-	yfbN	hypothetical protein (NCBI)	0.3905	36	yfbN
16386	b2279	1	7023	2393065	2393367	-	nuoK	NADH dehydrogenase subunit K (NCBI)	0.5479	8	nuoK
16403	b2296	1	7023	2411492	2412694	+	ackA	acetate kinase (NCBI)	0.522	38	ackA
16404	b2297	1	7023	2412769	2414913	+	pta	phosphate acetyltransferase (NCBI)	0.5552	51	pta
16418	b2311	1	7023	2426079	2426648	-	ubiX	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (NCBI)	0.5316	17	ubiX
16422	b2315	1	7023	2429696	2430964	-	folC	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase (NCBI)	0.5603	36	folC
16423	b2316	1	7023	2431034	2431948	-	accD	acetyl-CoA carboxylase subunit beta (NCBI)	0.5541	17	accD
16430	b2323	1	7023	2438407	2439627	-	fabB	3-oxoacyl-(acyl carrier protein) synthase (NCBI)	0.5659	35	fabB
16437	b2330	1	7023	2445530	2446462	-	yfcB	putative adenine-specific methylase (VIMSS)	0.5252	29	prmB
16451	b2345	1	7023	2461034	2462092	+	yfdF	hypothetical protein (NCBI)	0.3551	81	yfdF
1936740	b2348	5	7023	2464331	2464405	+	argW	tRNA-Arg (NCBI)	0.4933	5	argW
16457	b2352	1	7023	2467153	2468484	+	yfdI	CPS-53 (KpLE1) prophage; predicted inner membrane protein (NCBI)	0.2755	133	yfdI
3446197	b4643	8	7023	2474606	2474620	+	pawZ	tRNA-OTHER (RefSeq)	0.6667	0	pawZ
16499	b2394	1	7023	2512353	2513465	+	yi81_3	IS186 hypothetical protein (VIMSS)	0.5193	33	insL3
1936751	b2396	5	7023	2516063	2516138	-	alaX	tRNA-Ala (NCBI)	0.6053	2	alaX
1936752	b2397	5	7023	2516178	2516253	-	alaW	tRNA-Ala (NCBI)	0.6053	2	alaW
16503	b2400	1	7023	2517279	2518694	-	gltX	glutamyl-tRNA synthetase (NCBI)	0.5254	44	gltX
1936754	b2401	5	7023	2518953	2519028	+	valU	tRNA-Val (NCBI)	0.6184	1	valU
1936755	b2402	5	7023	2519073	2519148	+	valX	tRNA-Val (NCBI)	0.6184	1	valX
1936756	b2403	5	7023	2519195	2519270	+	valY	tRNA-Val (NCBI)	0.6184	1	valY
1936757	b2404	5	7023	2519275	2519350	+	lysV	tRNA-Lys (NCBI)	0.5	2	lysV
16510	b2411	1	7023	2526183	2528198	-	ligA	NAD-dependent DNA ligase LigA (NCBI)	0.5441	46	ligA
16511	b2412	1	7023	2528269	2529255	-	zipA	cell division protein ZipA (NCBI)	0.5512	28	zipA
16514	b2415	1	7023	2531786	2532043	+	ptsH	phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr) (NCBI)	0.5078	6	ptsH
16515	b2416	1	7023	2532088	2533815	+	ptsI	PEP-protein phosphotransferase of PTS system (enzyme I) (NCBI)	0.4965	56	ptsI
16516	b2417	1	7023	2533856	2534365	+	crr	glucose-specific PTS system enzyme IIA component (NCBI)	0.4725	14	crr
16571	b2472	1	7023	2589629	2590756	+	dapE	succinyl-diaminopimelate desuccinylase (NCBI)	0.5346	35	dapE
16577	b2478	1	7023	2596904	2597782	-	dapA	dihydrodipicolinate synthase (NCBI)	0.5176	30	dapA
16595	b2496	1	7023	2616097	2616798	-	hda	ATPase regulatory factor involved in DnaA inactivation (RefSeq)	0.5385	18	hda
16603	b2504	1	7023	2627312	2627503	+	yfgG	hypothetical protein (NCBI)	0.4948	6	yfgG
16606	b2507	1	7023	2628980	2630557	-	guaA	bifunctional GMP synthase/glutamine amidotransferase protein (NCBI)	0.5412	49	guaA
16607	b2508	1	7023	2630626	2632092	-	guaB	inositol-5-monophosphate dehydrogenase (NCBI)	0.5467	43	guaB
16610	b2511	1	7023	2633906	2635378	-	b2511	putative GTP-binding factor (VIMSS)	0.5221	43	der
16613	b2514	1	7023	2637323	2638597	-	hisS	histidyl-tRNA synthetase (NCBI)	0.5475	41	hisS
16614	b2515	1	7023	2638708	2639826	-	ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (NCBI)	0.5326	29	ispG
16623	b2524	1	7023	2654558	2654758	-	yfhJ	hypothetical protein (NCBI)	0.5025	5	iscX
16624	b2525	1	7023	2654770	2655105	-	fdx	[2Fe-2S] ferredoxin (NCBI)	0.5179	8	fdx
16625	b2526	1	7023	2655107	2656957	-	hscA	chaperone protein HscA (NCBI)	0.577	48	hscA
16626	b2527	1	7023	2656974	2657489	-	hscB	co-chaperone HscB (NCBI)	0.5233	13	hscB
16628	b2529	1	7023	2657925	2658311	-	iscU	scaffold protein (NCBI)	0.5013	8	iscU
